"Month, Year of Date",Measure Names,Measure Values
November 2025,Infused Edibles,11.73
December 2025,Infused Edibles,11.64
January 2020,Concentrate,113.576122514
February 2020,Concentrate,123.336214710
March 2020,Concentrate,124.993739858
April 2020,Concentrate,118.521232195
May 2020,Concentrate,117.143626476
June 2020,Concentrate,114.120547901
July 2020,Concentrate,111.316679872
August 2020,Concentrate,110.272733725
September 2020,Concentrate,109.317861111
October 2020,Concentrate,108.650454332
November 2020,Concentrate,106.670698886
December 2020,Concentrate,103.027479556
January 2021,Concentrate,101.297058836
February 2021,Concentrate,100.263493550
March 2021,Concentrate,98.010233014
April 2021,Concentrate,99.287826545
May 2021,Concentrate,101.582153600
June 2021,Concentrate,101.406454330
July 2021,Concentrate,99.465945509
August 2021,Concentrate,100.146279094
September 2021,Concentrate,96.970451238
October 2021,Concentrate,96.130200106
November 2021,Concentrate,93.630310455
December 2021,Concentrate,93.722533243
January 2022,Concentrate,92.444650047
February 2022,Concentrate,91.023966470
March 2022,Concentrate,88.504393803
April 2022,Concentrate,87.699549998
May 2022,Concentrate,88.809423602
June 2022,Concentrate,87.683059134
July 2022,Concentrate,86.681289595
August 2022,Concentrate,85.880357868
September 2022,Concentrate,84.982571563
October 2022,Concentrate,83.683201761
November 2022,Concentrate,83.668258618
December 2022,Concentrate,80.982538528
January 2023,Concentrate,80.982538528
February 2023,Concentrate,80.088198385
March 2023,Concentrate,77.383697256
April 2023,Concentrate,73.46
May 2023,Concentrate,73.73
June 2023,Concentrate,73.161725733
July 2023,Concentrate,71.254679438
August 2023,Concentrate,68.835505332
September 2023,Concentrate,65.591958095
October 2023,Concentrate,63.803075555
November 2023,Concentrate,63.705643833
December 2023,Concentrate,66.128103078
January 2024,Concentrate,62.056379980
February 2024,Concentrate,62.800399543
March 2024,Concentrate,60.640299277
April 2024,Concentrate,59.18
May 2024,Concentrate,58.32
June 2024,Concentrate,58.41
July 2024,Concentrate,56.856855394
August 2024,Concentrate,55.77
September 2024,Concentrate,55.199056218
October 2024,Concentrate,53.88
November 2024,Concentrate,52.76
December 2024,Concentrate,52.207857705
January 2025,Concentrate,51.22
February 2025,Concentrate,49.83
March 2025,Concentrate,49.337917713
April 2025,Concentrate,47.132497355
May 2025,Concentrate,47.7
June 2025,Concentrate,37.46
July 2025,Concentrate,34.66
August 2025,Concentrate,34.13
September 2025,Concentrate,33.51
October 2025,Concentrate,34.03
November 2025,Concentrate,33.07
December 2025,Concentrate,32.93
January 2020,Buds,17.056701725
February 2020,Buds,17.451949279
March 2020,Buds,16.749000719
April 2020,Buds,17.500040205
May 2020,Buds,16.765215755
June 2020,Buds,15.643809110
July 2020,Buds,15.963964374
August 2020,Buds,15.718161549
September 2020,Buds,15.761429276
October 2020,Buds,14.584437906
November 2020,Buds,14.175338298
December 2020,Buds,14.129996175
January 2021,Buds,14.121137475
February 2021,Buds,13.984381065
March 2021,Buds,13.722453260
April 2021,Buds,14.069950883
May 2021,Buds,14.419830778
June 2021,Buds,14.556296848
July 2021,Buds,14.416314326
August 2021,Buds,14.936549534
September 2021,Buds,14.599428225
October 2021,Buds,14.357245831
November 2021,Buds,13.856849950
December 2021,Buds,13.497170871
January 2022,Buds,13.203851526
February 2022,Buds,13.091539477
March 2022,Buds,13.209403733
April 2022,Buds,13.184996374
May 2022,Buds,13.156017801
June 2022,Buds,12.833062601
July 2022,Buds,12.808330230
August 2022,Buds,12.487016709
September 2022,Buds,12.279293636
October 2022,Buds,12.110757875
November 2022,Buds,12.042391718
December 2022,Buds,11.554075308
January 2023,Buds,11.554075308
February 2023,Buds,11.355183786
March 2023,Buds,10.921816484
April 2023,Buds,10.49
May 2023,Buds,10.37
June 2023,Buds,10.203927043
July 2023,Buds,10.032824039
August 2023,Buds,9.785058675
September 2023,Buds,9.780033947
October 2023,Buds,9.627650808
November 2023,Buds,9.468433051
December 2023,Buds,9.840474804
January 2024,Buds,9.177063336
February 2024,Buds,9.405821554
March 2024,Buds,9.203814304
April 2024,Buds,9.16
May 2024,Buds,9.29
June 2024,Buds,9.2
July 2024,Buds,9.042753672
August 2024,Buds,8.81
September 2024,Buds,8.766886059
October 2024,Buds,8.67
November 2024,Buds,8.63
December 2024,Buds,8.614357645
January 2025,Buds,8.51
February 2025,Buds,8.4
March 2025,Buds,8.32
April 2025,Buds,8.089294303
May 2025,Buds,8.14
June 2025,Buds,8.98
July 2025,Buds,6.71
August 2025,Buds,6.51
September 2025,Buds,6.29
October 2025,Buds,6.25
November 2025,Buds,5.84
December 2025,Buds,5.72
