"Month, Year of Start:",Measure Names,Measure Values
November 2018,Adult Use Sales,0
December 2018,Adult Use Sales,0
January 2019,Adult Use Sales,0
February 2019,Adult Use Sales,0
March 2019,Adult Use Sales,0
April 2019,Adult Use Sales,0
May 2019,Adult Use Sales,0
June 2019,Adult Use Sales,0
July 2019,Adult Use Sales,0
August 2019,Adult Use Sales,0
September 2019,Adult Use Sales,0
October 2019,Adult Use Sales,0
November 2019,Adult Use Sales,0
December 2019,Adult Use Sales,0
January 2020,Adult Use Sales,38966995.55
February 2020,Adult Use Sales,34804373.77
March 2020,Adult Use Sales,35903701.57
April 2020,Adult Use Sales,37259439.34
May 2020,Adult Use Sales,44317615.73
June 2020,Adult Use Sales,47647095.3
July 2020,Adult Use Sales,60955172.66
August 2020,Adult Use Sales,63963959.19
September 2020,Adult Use Sales,67676185.8
October 2020,Adult Use Sales,75275602.54
November 2020,Adult Use Sales,75197390.12
December 2020,Adult Use Sales,86854406.37
January 2021,Adult Use Sales,88812889.25
February 2021,Adult Use Sales,80740142.26
March 2021,Adult Use Sales,109146734.43
April 2021,Adult Use Sales,114960021.57
May 2021,Adult Use Sales,117048049.16
June 2021,Adult Use Sales,115574236.04
July 2021,Adult Use Sales,127793288.83
August 2021,Adult Use Sales,121931920.55
September 2021,Adult Use Sales,121717245.23
October 2021,Adult Use Sales,123374929.34
November 2021,Adult Use Sales,120747234.58
December 2021,Adult Use Sales,137895169.79
January 2022,Adult Use Sales,117249057.72
February 2022,Adult Use Sales,113991592.43
March 2022,Adult Use Sales,130959601.49
April 2022,Adult Use Sales,131781171.77
May 2022,Adult Use Sales,129802450.47
June 2022,Adult Use Sales,126804532.94
July 2022,Adult Use Sales,135654150.65
August 2022,Adult Use Sales,129438745.44
September 2022,Adult Use Sales,130681634.47
October 2022,Adult Use Sales,131544805.75
November 2022,Adult Use Sales,130489360.58
December 2022,Adult Use Sales,143894538.01
January 2023,Adult Use Sales,127927930.38
February 2023,Adult Use Sales,120481623.33
March 2023,Adult Use Sales,134782514.84
April 2023,Adult Use Sales,131990462.83
May 2023,Adult Use Sales,132763358.6
June 2023,Adult Use Sales,136394336.17
July 2023,Adult Use Sales,140031712.74
August 2023,Adult Use Sales,139211238.51
September 2023,Adult Use Sales,139516241.38
October 2023,Adult Use Sales,138738251.71
November 2023,Adult Use Sales,139088305.27
December 2023,Adult Use Sales,153920555.43
January 2024,Adult Use Sales,133773639.13
February 2024,Adult Use Sales,135561355.13
March 2024,Adult Use Sales,148860820.05
April 2024,Adult Use Sales,144511789.2
May 2024,Adult Use Sales,146215120.34
June 2024,Adult Use Sales,141735660.69
July 2024,Adult Use Sales,143329147
August 2024,Adult Use Sales,147381089.55
September 2024,Adult Use Sales,136499462.34
October 2024,Adult Use Sales,142241687
November 2024,Adult Use Sales,149273546.59
December 2024,Adult Use Sales,153239145.47
January 2025,Adult Use Sales,140180748.44
February 2025,Adult Use Sales,130598663.53
March 2025,Adult Use Sales,147475744.28
April 2025,Adult Use Sales,146595635.84
May 2025,Adult Use Sales,149739475.27
June 2025,Adult Use Sales,116705201.22
July 2025,Adult Use Sales,114987836.39
August 2025,Adult Use Sales,115176332.16
September 2025,Adult Use Sales,105186509.45
October 2025,Adult Use Sales,113079869.24
November 2025,Adult Use Sales,110381767.49
December 2025,Adult Use Sales,116581049.79
